,price
529,20991.0
531,18287.0
533,21995.0
534,11988.0
536,12000.0
537,7555.0
538,24995.0
540,21430.0
541,26988.0
543,18677.0
544,19995.0
545,8990.0
546,12401.0
547,18127.0
548,11991.0
549,20900.0
550,28980.0
551,3000.0
554,26560.0
555,20000.0
556,18890.0
557,11989.0
559,21290.0
560,21988.0
561,27748.0
562,18900.0
563,13990.0
568,24488.0
569,22995.0
570,20995.0
572,27000.0
573,22495.0
574,21944.0
575,29344.0
576,15488.0
577,12488.0
578,18900.0
579,14787.0
581,8500.0
582,27995.0
583,19500.0
584,20399.0
585,14798.0
586,26998.0
588,19500.0
589,25497.0
590,20995.0
592,25129.0
595,15995.0
596,23995.0
597,19498.0
599,20900.0
600,6284.0
601,4795.0
603,17500.0
604,20744.0
605,29495.0
606,18999.0
607,13865.0
608,22917.0
610,28495.0
611,25788.0
612,25500.0
613,23136.0
614,13994.0
615,14719.0
616,19599.0
619,16850.0
620,27995.0
621,20867.0
623,26587.0
624,18900.0
625,16800.0
626,15850.0
627,18500.0
628,24640.0
629,16991.0
632,19265.0
635,26900.0
636,17999.0
637,16997.0
638,25595.0
639,27995.0
640,28998.0
641,17299.0
643,27495.0
644,14789.0
645,26995.0
646,19763.0
647,25999.0
648,29985.0
650,23999.0
651,18749.0
652,11814.0
653,20597.0
654,18495.0
656,27013.0
658,25000.0
659,21995.0
661,22988.0
662,18214.0
664,22495.0
665,26800.0
666,20992.0
668,23998.0
669,19900.0
670,21805.0
671,19501.0
672,17348.0
673,17688.0
674,23500.0
675,27925.0
676,29950.0
677,18495.0
678,12881.0
679,22988.0
680,13829.0
682,13495.0
683,29472.0
685,12667.0
686,26590.0
689,19953.0
691,15000.0
692,19000.0
693,25528.0
696,17000.0
697,26891.0
699,17982.0
700,18988.0
702,25998.0
703,20488.0
704,18960.0
705,16250.0
707,15990.0
709,16000.0
710,19921.0
711,20555.0
712,26995.0
713,14547.0
714,21995.0
715,22981.0
717,7598.0
718,21398.0
720,27944.0
721,25835.0
722,23700.0
724,24498.0
725,24681.0
726,12995.0
728,20995.0
729,18994.0
731,15274.0
732,15750.0
733,16995.0
735,18995.0
737,15936.0
738,17900.0
739,18700.0
740,22862.0
741,12893.0
742,11995.0
743,6900.0
744,18989.0
745,26700.0
746,12995.0
747,15991.0
748,6795.0
749,14780.0
751,13997.0
752,26580.0
753,24464.0
754,15244.0
755,9990.0
756,14995.0
758,19899.0
759,6990.0
760,24988.0
761,17950.0
762,3000.0
763,18502.0
764,11155.0
765,17229.0
767,26999.0
768,15997.0
769,27827.0
770,11870.0
772,18509.0
773,24900.0
774,19881.0
775,13868.0
776,23944.0
777,22000.0
778,25680.0
779,14491.0
780,11900.0
781,18995.0
782,18000.0
783,16498.0
784,19998.0
785,7600.0
786,26689.0
787,16299.0
788,14294.0
791,28750.0
792,15998.0
793,23995.0
794,17889.0
796,16995.0
797,25991.0
798,16372.0
802,23500.0
803,28955.0
804,24964.0
805,26490.0
807,24285.0
808,17468.0
809,15995.0
810,15995.0
811,16980.0
812,22000.0
813,25450.0
814,26200.0
815,24933.0
816,13995.0
817,23991.0
819,22995.0
820,17811.0
821,25276.0
823,14998.0
824,24990.0
826,20000.0
827,9000.0
829,17999.0
830,17991.0
835,18497.0
836,18000.0
837,15000.0
838,13749.0
844,7500.0
845,15788.0
846,18864.0
848,24855.0
849,14377.0
850,11995.0
852,16993.0
854,18900.0
855,18000.0
856,10989.0
859,19488.0
860,22788.0
861,11999.0
862,28000.0
863,20990.0
866,21998.0
867,21000.0
868,23613.0
869,26495.0
870,23997.0
871,23999.0
872,21985.0
873,24937.0
875,23969.0
876,24988.0
879,27582.0
882,21325.0
884,20477.0
885,19242.0
886,16975.0
887,23859.0
888,25865.0
889,8999.0
893,18995.0
894,23495.0
895,21995.0
896,20997.0
897,13331.0
898,8888.0
899,13000.0
900,15998.0
901,19029.0
903,19753.0
904,17978.0
907,28219.0
908,27224.0
909,27201.0
910,17500.0
911,10000.0
912,16500.0
913,29600.0
914,23544.0
915,15200.0
916,27910.0
918,8700.0
919,25950.0
920,19682.0
921,30000.0
922,5995.0
924,19598.0
925,11500.0
926,19998.0
928,19747.0
929,16829.0
930,14989.0
932,18250.0
933,29041.0
934,29513.0
935,16999.0
936,19863.0
938,16491.0
939,21982.0
942,14691.0
943,15350.0
946,4595.0
947,12980.0
948,19800.0
949,27646.0
952,21977.0
953,25950.0
954,15890.0
956,29700.0
957,22907.0
958,19500.0
959,15790.0
960,19488.0
961,23900.0
964,18630.0
965,14990.0
966,21900.0
967,10801.0
968,10990.0
969,19999.0
970,20995.0
971,17987.0
972,26791.0
973,5749.0
974,21990.0
975,11990.0
976,20220.0
978,29995.0
979,18400.0
980,27998.0
981,29995.0
982,22140.0
983,17294.0
984,13979.0
985,2995.0
986,25982.0
988,16194.0
989,28371.0
990,28950.0
991,15999.0
992,19586.0
993,18500.0
994,15933.0
995,15444.0
998,21000.0
1002,17500.0
1003,24834.0
1004,9825.0
1005,16756.0
1006,20063.0
1007,23995.0
1008,16025.0
1009,23450.0
1010,29450.0
1011,15700.0
1012,27990.0
1014,24931.0
1015,16465.0
1017,25736.0
1018,20449.0
1019,20985.0
1020,23999.0
1022,23995.0
1023,26995.0
1025,16000.0
1026,15998.0
1030,21215.0
1031,12898.0
1033,18980.0
1034,16500.0
1035,29999.0
1036,8995.0
1037,21700.0
1039,26883.0
1040,15498.0
1041,17734.0
1042,18557.0
1043,11166.0
1045,17991.0
1047,22577.0
1050,15900.0
1051,27397.0
1052,21972.0
1053,29600.0
1054,19700.0
1055,11062.0
1056,16891.0
1057,14488.0
1058,29995.0
1059,16334.0
1060,5579.0
1061,14495.0
1062,26998.0
1066,20911.0
1067,13851.0
1068,16790.0
1069,23991.0
1070,22980.0
1071,13202.0
1072,18888.0
1073,18462.0
1074,22120.0
1075,25995.0
1076,19990.0
1077,17500.0
1078,17263.0
1080,19400.0
1081,27488.0
1082,29965.0
1083,4995.0
1084,19990.0
1086,29500.0
1087,26999.0
1088,28500.0
1089,14888.0
1090,15988.0
1091,29450.0
1092,9000.0
1094,23921.0
1096,16255.0
1097,25551.0
1098,23988.0
1099,28500.0
1101,16777.0
1102,13600.0
1103,12578.0
1104,21995.0
1105,11999.0
1106,14659.0
1107,16000.0
1108,14101.0
1109,19122.0
1110,14995.0
1112,5999.0
1114,17487.0
1115,16979.0
1117,23995.0
1118,6891.0
1119,1680.0
1120,15949.0
