,city_fuel_economy,engine_displacement,franchise_make,fuel_tank_volume,height,highway_fuel_economy,length,mileage,model_name,owner_count,power,savings_amount,torque,trimId,wheelbase,width,year,wheel_system_cat,wheel_system_display_cat,body_type_Sedan,engine_cylinders_I4,engine_cylinders_V6,transmission_display_8_Speed_Automatic
3297,22.0,2400.0,1,13.5,64.8,30.0,173.0,32519.0,1,1.0,180,497,175,73230,103.8,80.0,2017,0,2,0,1,0,0
3298,24.0,2400.0,1,18.5,57.7,35.0,191.1,83907.0,1,2.0,185,1520,178,57983,110.4,73.2,2016,3,3,1,1,0,0
3299,25.0,1800.0,0,13.0,57.5,34.0,178.3,126029.0,0,1.0,130,501,125,18040,102.4,66.9,2003,3,3,1,1,0,0
3300,22.0,2400.0,0,18.8,66.3,32.0,187.8,72198.0,1,1.0,182,910,172,58668,112.5,72.5,2016,3,3,0,1,0,0
3301,17.0,4300.0,0,26.0,73.9,22.0,230.0,47599.0,2,1.0,355,863,383,67808,143.5,80.0,2017,0,2,0,0,0,0
3304,22.0,2000.0,1,15.7,66.3,28.0,178.1,29260.0,1,1.0,245,227,275,66218,105.9,81.8,2017,2,1,0,1,0,0
3305,23.0,2000.0,1,15.7,66.3,30.0,178.1,26985.0,1,1.0,245,526,275,73867,105.9,81.8,2018,3,3,0,1,0,0
3306,27.0,2500.0,0,16.2,56.9,37.0,192.9,11416.0,1,1.0,188,105,180,87017,111.2,72.9,2020,3,3,1,1,0,0
3309,28.0,2500.0,0,16.2,56.8,39.0,192.9,31022.0,1,1.0,188,998,180,83905,111.2,72.9,2019,3,3,1,1,0,0
3310,22.0,2000.0,1,15.7,66.3,28.0,178.1,24996.0,1,1.0,245,1833,275,73868,105.9,81.8,2018,2,1,0,1,0,0
3311,22.0,1800.0,0,14.5,59.6,30.0,180.2,19881.0,2,1.0,170,1081,199,76658,103.5,70.8,2018,2,1,0,1,0,0
3312,27.0,2400.0,1,17.2,57.7,36.0,192.5,14312.0,1,1.0,185,284,181,68060,109.3,72.8,2017,3,3,1,1,0,0
3313,21.0,2400.0,1,15.6,58.1,32.0,183.9,76772.0,0,1.0,180,469,171,55908,105.7,71.4,2015,3,3,1,1,0,0
3315,18.0,3500.0,2,36.0,76.9,23.0,231.9,50402.0,2,1.0,325,1500,375,56554,145.0,96.8,2015,0,2,0,0,1,0
3316,18.0,3500.0,1,19.0,60.7,26.0,202.9,36236.0,1,1.0,288,1178,254,82447,112.9,85.7,2019,3,3,1,0,1,0
3318,14.0,5600.0,0,26.0,75.8,19.0,208.9,35225.0,2,1.0,390,2666,394,83678,121.1,79.9,2019,1,0,0,0,0,0
3319,17.0,3600.0,4,22.0,69.9,24.0,200.7,88944.0,2,1.0,288,451,270,40508,118.9,78.2,2012,3,3,0,0,1,0
3321,19.0,3000.0,1,20.0,57.2,27.0,188.3,19047.0,2,1.0,300,2996,295,68172,112.2,71.8,2017,2,1,1,0,1,0
3322,23.0,2400.0,3,13.7,57.5,32.0,170.9,99518.0,0,2.0,173,507,168,47145,104.3,69.9,2011,3,3,0,1,0,0
3323,19.0,3500.0,2,19.5,70.2,26.0,198.5,39195.0,1,2.0,284,1290,259,68140,114.2,77.2,2017,0,2,0,0,1,0
3325,16.0,3600.0,1,22.5,70.8,21.0,173.4,82567.0,3,1.0,285,3278,260,67263,116.0,82.8,2012,0,2,0,0,1,0
3327,16.0,5000.0,0,16.0,54.4,25.0,188.3,43596.0,2,1.0,435,868,400,58602,107.1,81.9,2016,4,4,0,0,0,0
3328,15.0,6200.0,1,26.0,73.7,21.0,230.2,67234.0,2,1.0,403,946,417,44932,143.5,79.9,2013,0,2,0,0,0,0
3329,28.0,1800.0,1,13.2,57.3,35.0,183.1,38037.0,0,1.0,132,542,128,78889,106.3,69.9,2019,3,3,1,1,0,0
3330,18.0,3200.0,1,15.9,65.7,26.0,182.0,18950.0,1,1.0,271,557,239,68742,106.3,73.2,2017,0,2,0,0,1,0
3331,22.0,2000.0,1,15.9,65.7,31.0,182.0,49444.0,1,1.0,271,2766,239,77886,106.2,73.2,2019,3,3,0,1,0,0
3332,26.0,2500.0,4,14.5,68.1,33.0,184.5,37503.0,1,1.0,170,480,175,68522,106.5,72.4,2017,3,3,0,1,0,0
3333,29.0,1500.0,1,14.8,57.1,35.0,192.2,15288.0,1,1.0,192,806,192,75511,111.4,73.3,2018,3,3,1,1,0,0
3334,21.0,2000.0,0,15.6,65.4,26.0,182.3,20650.0,1,1.0,252,354,260,73716,107.3,72.4,2018,0,2,0,1,0,0
3337,25.0,2000.0,0,13.2,56.3,33.0,179.5,17185.0,0,1.0,147,1196,132,66979,106.3,70.1,2017,3,3,1,1,0,0
3339,26.0,2000.0,0,12.4,57.8,38.0,171.7,28443.0,0,1.0,123,589,148,59009,104.3,80.5,2016,3,3,0,0,0,0
3340,20.0,2400.0,0,18.8,69.3,28.0,187.8,50713.0,1,1.0,301,2990,272,67420,112.5,72.5,2017,2,1,0,1,0,0
3341,16.0,5700.0,4,18.5,58.5,25.0,198.4,58023.0,3,2.0,370,693,395,75311,120.2,75.0,2018,4,4,1,0,0,0
3342,18.0,3300.0,0,21.1,69.1,24.0,201.4,2729.0,1,1.0,276,1306,248,85940,120.5,89.3,2020,3,3,0,0,1,1
3343,22.0,2500.0,0,15.9,65.9,28.0,183.5,28435.0,2,1.0,176,758,172,74774,104.7,72.6,2018,2,1,0,1,0,0
3346,17.0,3600.0,4,21.0,65.7,24.0,190.3,40534.0,0,2.0,308,540,265,58135,110.5,75.2,2016,3,3,0,0,1,0
3347,14.0,5700.0,1,24.6,69.4,20.0,189.8,76452.0,2,4.0,360,2234,390,49180,114.8,84.8,2014,0,2,0,0,0,1
3350,17.0,3300.0,0,18.8,66.5,23.0,187.4,27780.0,1,1.0,290,170,252,67861,109.4,74.4,2017,2,1,0,0,1,0
3351,17.0,3600.0,0,22.0,69.9,24.0,203.7,182307.0,1,1.0,281,1898,266,51748,118.9,78.5,2014,3,3,0,0,1,0
3352,20.0,2400.0,0,18.8,66.3,29.0,187.8,137774.0,1,2.0,264,477,222,37951,112.5,72.5,2011,2,1,0,1,0,0
3354,20.0,2400.0,2,15.9,70.4,25.0,170.3,169888.0,0,2.0,166,504,161,31692,101.4,71.5,2008,3,3,0,1,0,0
3356,19.0,3700.0,1,20.0,54.8,27.0,183.1,48739.0,2,1.0,330,1200,270,53288,112.2,71.8,2014,4,4,0,0,1,0
3358,18.0,3600.0,0,21.0,70.4,26.0,212.7,62717.0,3,1.0,305,615,269,58421,128.3,83.9,2016,1,0,0,0,1,0
