iter	Passed	Remaining
869	8114	1212
870	8124	1203
871	8132	1193
872	8143	1184
873	8153	1175
874	8161	1165
875	8171	1156
876	8180	1147
877	8190	1138
878	8199	1128
879	8208	1119
880	8217	1109
881	8226	1100
882	8235	1091
883	8244	1081
884	8253	1072
885	8263	1063
886	8272	1053
887	8281	1044
888	8291	1035
889	8300	1025
890	8310	1016
891	8319	1007
892	8330	998
893	8338	988
894	8346	979
895	8356	969
896	8365	960
897	8374	951
898	8384	941
899	8393	932
900	8402	923
901	8411	913
902	8419	904
903	8429	895
904	8438	885
905	8446	876
906	8456	867
907	8466	857
908	8475	848
909	8484	839
910	8493	829
911	8502	820
912	8511	811
913	8520	801
914	8530	792
915	8539	783
916	8549	773
917	8559	764
918	8568	755
919	8577	745
920	8587	736
921	8596	727
922	8605	717
923	8614	708
924	8623	699
925	8632	689
926	8642	680
927	8652	671
928	8660	661
929	8670	652
930	8678	643
931	8688	633
932	8697	624
933	8707	615
934	8716	605
935	8725	596
936	8735	587
937	8744	577
938	8753	568
939	8762	559
940	8771	549
941	8780	540
942	8789	531
943	8797	521
944	8805	512
945	8815	503
946	8825	493
947	8834	484
948	8843	475
949	8852	465
950	8861	456
951	8870	447
952	8880	437
953	8889	428
954	8897	419
955	8906	409
956	8916	400
957	8924	391
958	8933	381
959	8941	372
960	8950	363
961	8959	353
962	8970	344
963	8979	335
964	8989	326
965	8998	316
966	9008	307
967	9017	298
968	9026	288
969	9035	279
970	9044	270
971	9053	260
972	9062	251
973	9071	242
974	9080	232
975	9089	223
976	9097	214
977	9106	204
978	9115	195
979	9125	186
980	9136	176
981	9145	167
982	9154	158
983	9162	148
984	9171	139
985	9180	130
986	9189	121
987	9198	111
988	9207	102
989	9215	93
990	9224	83
991	9233	74
992	9242	65
993	9252	55
994	9262	46
995	9271	37
996	9281	27
997	9290	18
998	9300	9
999	9309	0
